frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
1526,1526,113.6,22.42,Moderate Fog/Overcast,194.62,-11.252,part1_grapevine
1531,1531,116.26,22.33,Moderate Fog/Overcast,229.38,3.229,part1_grapevine
1536,1536,118.17,22.2,Moderate Fog/Overcast,29.42,-2.027,part1_grapevine
1541,1541,118.23,21.15,Moderate Fog/Overcast,106.54,-2.057,part1_grapevine
1546,1546,114.98,24.96,Moderate Fog/Overcast,36.29,5.378,part1_grapevine
1551,1551,111.77,25.64,Moderate Fog/Overcast,36.15,-1.162,part1_grapevine
1556,1556,109.84,24.56,Moderate Fog/Overcast,76.65,-7.038,part1_grapevine
1561,1561,110.71,25.21,Moderate Fog/Overcast,30.9,6.335,part1_grapevine
1566,1566,111.54,24.23,Moderate Fog/Overcast,261.84,-13.893,part1_grapevine
1571,1571,110.72,24.56,Moderate Fog/Overcast,179.77,-13.699,part1_grapevine
1576,1576,108.15,25.11,Moderate Fog/Overcast,188.39,-6.539,part1_grapevine
1581,1581,109.94,31.84,Clear,122.77,-0.938,part1_grapevine
1586,1586,114.54,29.35,Clear,115.76,-5.594,part1_grapevine
1591,1591,111.52,22.83,Moderate Fog/Overcast,119.47,-9.118,part1_grapevine
1596,1596,114.57,21.83,Moderate Fog/Overcast,38.31,3.51,part1_grapevine
1601,1601,115.57,23.07,Moderate Fog/Overcast,31.76,-3.646,part1_grapevine
1606,1606,115.01,25.35,Moderate Fog/Overcast,61.83,-4.463,part1_grapevine
1611,1611,109.49,35.87,Clear,134.66,13.207,part1_grapevine
1616,1616,113.78,24.67,Moderate Fog/Overcast,61.76,-3.411,part1_grapevine
1621,1621,106.94,31.3,Clear,24.01,-2.793,part1_grapevine
1626,1626,116.55,20.26,Moderate Fog/Overcast,26.88,0.529,part1_grapevine
1631,1631,130.49,31.65,Clear,52.79,-1.943,part1_grapevine
1636,1636,114.05,21.15,Moderate Fog/Overcast,24.82,-1.639,part1_grapevine
1641,1641,109.0,23.5,Moderate Fog/Overcast,140.18,-5.796,part1_grapevine
1646,1646,115.26,20.63,Moderate Fog/Overcast,72.23,-9.936,part1_grapevine
1651,1651,114.33,20.76,Moderate Fog/Overcast,29.11,-1.178,part1_grapevine
1656,1656,112.33,26.56,Moderate Fog/Overcast,169.68,-3.929,part1_grapevine
1661,1661,112.54,24.33,Moderate Fog/Overcast,40.58,-3.221,part1_grapevine
1666,1666,113.12,25.84,Moderate Fog/Overcast,49.35,-5.588,part1_grapevine
1671,1671,114.18,24.2,Moderate Fog/Overcast,52.0,4.905,part1_grapevine
1676,1676,114.59,21.81,Moderate Fog/Overcast,63.24,-7.797,part1_grapevine
1681,1681,105.75,35.58,Clear,106.36,7.409,part1_grapevine
1686,1686,113.87,23.64,Moderate Fog/Overcast,29.37,-1.304,part1_grapevine
1691,1691,111.24,26.27,Moderate Fog/Overcast,28.49,-1.767,part1_grapevine
1696,1696,113.05,32.4,Clear,58.17,6.942,part1_grapevine
1701,1701,114.76,24.11,Moderate Fog/Overcast,29.65,1.195,part1_grapevine
1706,1706,112.63,27.23,Moderate Fog/Overcast,156.91,1.475,part1_grapevine
1711,1711,113.06,24.98,Moderate Fog/Overcast,28.66,-5.124,part1_grapevine
1716,1716,114.54,21.77,Moderate Fog/Overcast,37.78,-0.066,part1_grapevine
1721,1721,114.54,23.28,Moderate Fog/Overcast,20.95,-0.9,part1_grapevine
1726,1726,115.26,19.7,Moderate Fog/Overcast,34.75,1.351,part1_grapevine
1731,1731,115.43,19.62,Moderate Fog/Overcast,37.24,-1.506,part1_grapevine
